ep_rew_mean,time_elapsed,total_timesteps
,,
1.25e+03,2110,113500
,,
1.25e+03,2119,114000
,,
1.25e+03,2128,114500
,,
1.25e+03,2137,115000
,,
1.24e+03,2147,115500
,,
1.23e+03,2156,116000
,,
1.17e+03,2165,116500
,,
1.14e+03,2174,117000
,,
1.12e+03,2186,117500
,,
1.08e+03,2195,118000
,,
1.07e+03,2204,118500
,,
1.07e+03,2213,119000
,,
1.06e+03,2222,119500
,,
1.06e+03,2231,120000
,,
1.04e+03,2241,120500
,,
1e+03,2250,121000
,,
1e+03,2259,121500
,,
979,2268,122000
,,
968,2277,122500
,,
953,2286,123000
,,
903,2295,123500
,,
838,2304,124000
,,
828,2316,124500
,,
828,2325,125000
,,
815,2334,125500
,,
811,2343,126000
,,
803,2352,126500
,,
796,2362,127000
,,
788,2371,127500
,,
772,2380,128000
,,
764,2389,128500
,,
765,2398,129000
,,
765,2407,129500
,,
759,2417,130000
,,
757,2426,130500
,,
757,2435,131000
,,
754,2447,131500
,,
754,2456,132000
,,
752,2465,132500
,,
749,2474,133000
,,
749,2483,133500
,,
745,2492,134000
,,
737,2501,134500
,,
737,2511,135000
,,
737,2520,135500
,,
737,2529,136000
,,
737,2538,136500
,,
737,2547,137000
,,
737,2556,137500
,,
737,2566,138000
,,
737,2578,138500
,,
737,2587,139000
,,
737,2596,139500
,,
737,2605,140000
,,
737,2614,140500
,,
737,2623,141000
,,
737,2632,141500
,,
737,2642,142000
,,
737,2651,142500
,,
737,2660,143000
,,
737,2669,143500
,,
737,2678,144000
,,
737,2687,144500
,,
737,2697,145000
,,
737,2709,145500
,,
737,2718,146000
,,
737,2727,146500
,,
737,2736,147000
,,
737,2745,147500
,,
737,2754,148000
,,
737,2764,148500
,,
737,2773,149000
,,
737,2782,149500
,,
737,2791,150000
,,
737,2800,150500
,,
737,2809,151000
,,
737,2818,151500
,,
737,2829,152000
,,
737,2840,152500
,,
737,2849,153000
,,
737,2858,153500
,,
737,2867,154000
,,
737,2876,154500
,,
737,2886,155000
,,
737,2895,155500
,,
737,2904,156000
,,
737,2913,156500
,,
737,2922,157000
,,
737,2931,157500
,,
737,2940,158000
,,
737,2950,158500
,,
737,2962,159000
,,
737,2971,159500
,,
737,2980,160000
,,
737,2989,160500
,,
737,2998,161000
,,
737,3008,161500
,,
737,3017,162000
,,
737,3026,162500
,,
737,3035,163000
,,
737,3044,163500
,,
737,3053,164000
,,
737,3062,164500
,,
737,3071,165000
,,
737,3080,165500
,,
737,3093,166000
,,
737,3103,166500
,,
737,3112,167000
,,
737,3121,167500
,,
737,3130,168000
,,
737,3139,168500
,,
737,3149,169000
,,
737,3158,169500
,,
737,3167,170000
,,
737,3176,170500
,,
737,3185,171000
,,
737,3195,171500
,,
737,3204,172000
,,
737,3213,172500
,,
737,3225,173000
,,
737,3234,173500
,,
737,3243,174000
,,
737,3252,174500
,,
737,3261,175000
,,
737,3271,175500
,,
737,3280,176000
,,
737,3289,176500
,,
737,3298,177000
,,
737,3307,177500
,,
737,3317,178000
,,
737,3326,178500
,,
737,3335,179000
,,
737,3345,179500
,,
737,3356,180000
,,
737,3365,180500
,,
737,3374,181000
,,
737,3384,181500
,,
737,3393,182000
,,
737,3402,182500
,,
737,3411,183000
,,
737,3420,183500
,,
737,3429,184000
,,
737,3438,184500
,,
737,3448,185000
,,
737,3457,185500
,,
737,3466,186000
,,
737,3476,186500
,,
737,3487,187000
,,
737,3496,187500
,,
737,3505,188000
,,
737,3514,188500
,,
737,3523,189000
,,
737,3533,189500
,,
737,3542,190000
,,
737,3551,190500
,,
737,3560,191000
,,
737,3569,191500
,,
737,3579,192000
,,
737,3588,192500
,,
737,3597,193000
,,
737,3609,193500
,,
737,3618,194000
,,
737,3627,194500
,,
737,3636,195000
,,
737,3645,195500
,,
737,3654,196000
,,
737,3664,196500
,,
737,3673,197000
,,
737,3682,197500
,,
737,3691,198000
,,
737,3700,198500
,,
737,3709,199000
,,
737,3719,199500
,,
737,3728,200000
,,
737,3739,200500
,,
737,3748,201000
,,
737,3757,201500
,,
737,3767,202000
,,
737,3776,202500
,,
737,3785,203000
,,
737,3794,203500
,,
737,3803,204000
,,
737,3812,204500
,,
737,3821,205000
,,
737,3830,205500
,,
737,3839,206000
,,
737,3849,206500
,,
737,3858,207000
,,
737,3870,207500
,,
737,3879,208000
,,
737,3888,208500
,,
737,3898,209000
,,
737,3907,209500
,,
737,3916,210000
,,
737,3925,210500
,,
737,3934,211000
,,
737,3943,211500
,,
737,3953,212000
,,
737,3962,212500
,,
737,3971,213000
,,
737,3980,213500
,,
737,3989,214000
,,
737,4001,214500
,,
737,4010,215000
,,
737,4019,215500
,,
737,4029,216000
,,
737,4038,216500
,,
737,4047,217000
,,
737,4056,217500
,,
737,4065,218000
,,
737,4074,218500
,,
737,4083,219000
,,
737,4093,219500
,,
737,4102,220000
,,
737,4111,220500
,,
737,4120,221000
,,
737,4133,221500
,,
737,4142,222000
,,
737,4151,222500
,,
737,4160,223000
,,
737,4169,223500
,,
737,4178,224000
,,
737,4188,224500
,,
737,4197,225000
,,
737,4206,225500
,,
737,4215,226000
,,
737,4224,226500
,,
737,4234,227000
,,
737,4243,227500
,,
737,4255,228000
,,
737,4265,228500
,,
737,4274,229000
,,
737,4283,229500
,,
737,4293,230000
,,
737,4302,230500
,,
737,4311,231000
,,
737,4320,231500
,,
737,4329,232000
,,
737,4338,232500
,,
737,4348,233000
,,
737,4357,233500
,,
737,4366,234000
,,
737,4375,234500
,,
737,4387,235000
,,
737,4396,235500
,,
737,4405,236000
,,
737,4414,236500
,,
737,4423,237000
,,
737,4433,237500
,,
737,4442,238000
,,
737,4451,238500
,,
737,4460,239000
,,
737,4469,239500
,,
737,4478,240000
,,
737,4488,240500
,,
737,4497,241000
,,
737,4506,241500
,,
737,4518,242000
,,
737,4527,242500
,,
737,4536,243000
,,
737,4545,243500
,,
737,4555,244000
,,
737,4564,244500
,,
737,4573,245000
,,
737,4582,245500
,,
737,4591,246000
,,
737,4600,246500
,,
737,4610,247000
,,
737,4619,247500
,,
737,4628,248000
,,
737,4637,248500
,,
737,4649,249000
,,
737,4658,249500
,,
737,4667,250000
,,
737,4677,250500
,,
737,4686,251000
,,
737,4695,251500
,,
737,4704,252000
,,
737,4713,252500
,,
737,4723,253000
,,
737,4732,253500
,,
737,4741,254000
,,
737,4750,254500
,,
737,4759,255000
,,
737,4771,255500
,,
737,4781,256000
,,
737,4790,256500
,,
737,4799,257000
,,
737,4808,257500
,,
737,4817,258000
,,
737,4826,258500
,,
737,4836,259000
,,
737,4845,259500
,,
737,4854,260000
,,
737,4863,260500
,,
737,4872,261000
,,
737,4881,261500
,,
737,4890,262000
,,
737,4903,262500
,,
737,4912,263000
,,
737,4921,263500
,,
737,4930,264000
,,
737,4939,264500
,,
737,4948,265000
,,
737,4957,265500
,,
737,4966,266000
,,
737,4975,266500
,,
737,4984,267000
,,
737,4993,267500
,,
737,5003,268000
,,
737,5012,268500
,,
737,5021,269000
,,
737,5033,269500
,,
737,5042,270000
,,
737,5051,270500
,,
737,5060,271000
,,
737,5070,271500
,,
737,5079,272000
,,
737,5088,272500
,,
737,5097,273000
,,
737,5106,273500
,,
737,5116,274000
,,
737,5125,274500
,,
737,5134,275000
,,
737,5143,275500
,,
737,5153,276000
,,
737,5164,276500
,,
737,5173,277000
,,
737,5183,277500
,,
737,5192,278000
,,
737,5201,278500
,,
737,5210,279000
,,
737,5219,279500
,,
737,5228,280000
,,
737,5237,280500
,,
737,5247,281000
,,
737,5256,281500
,,
737,5265,282000
,,
737,5274,282500
,,
737,5283,283000
,,
737,5295,283500
,,
737,5304,284000
,,
737,5313,284500
,,
737,5322,285000
,,
737,5331,285500
,,
737,5340,286000
,,
737,5350,286500
,,
737,5359,287000
,,
737,5368,287500
,,
737,5377,288000
,,
737,5386,288500
,,
737,5396,289000
,,
737,5405,289500
,,
737,5415,290000
,,
737,5426,290500
,,
737,5435,291000
,,
737,5445,291500
,,
737,5454,292000
,,
737,5463,292500
,,
737,5472,293000
,,
737,5481,293500
,,
737,5490,294000
,,
737,5500,294500
,,
737,5509,295000
,,
737,5518,295500
,,
737,5527,296000
,,
737,5536,296500
,,
737,5547,297000
,,
737,5557,297500
,,
737,5566,298000
,,
737,5576,298500
,,
737,5585,299000
,,
737,5594,299500
,,
737,5603,300000
,,
737,5612,300500
,,
737,5621,301000
,,
737,5631,301500
,,
737,5640,302000
,,
737,5649,302500
,,
737,5658,303000
,,
737,5667,303500
,,
737,5679,304000
,,
737,5688,304500
,,
737,5697,305000
,,
737,5706,305500
,,
737,5716,306000
,,
737,5725,306500
,,
737,5734,307000
,,
737,5743,307500
,,
737,5752,308000
,,
737,5761,308500
,,
737,5771,309000
,,
737,5780,309500
,,
737,5789,310000
,,
737,5798,310500
,,
737,5810,311000
,,
737,5819,311500
,,
737,5828,312000
,,
737,5837,312500
,,
737,5846,313000
,,
737,5855,313500
,,
737,5864,314000
,,
737,5873,314500
,,
737,5883,315000
,,
737,5892,315500
,,
737,5901,316000
,,
737,5910,316500
,,
737,5919,317000
,,
737,5928,317500
,,
737,5941,318000
,,
737,5950,318500
,,
737,5959,319000
,,
737,5968,319500
,,
737,5977,320000
,,
737,5986,320500
,,
737,5995,321000
,,
737,6005,321500
,,
737,6014,322000
,,
737,6023,322500
,,
737,6032,323000
,,
737,6041,323500
,,
737,6051,324000
,,
737,6060,324500
,,
737,6072,325000
,,
737,6081,325500
,,
737,6090,326000
,,
737,6099,326500
,,
737,6108,327000
,,
737,6118,327500
,,
737,6127,328000
,,
737,6136,328500
,,
737,6145,329000
,,
737,6155,329500
,,
737,6164,330000
,,
737,6173,330500
,,
737,6182,331000
,,
737,6194,331500
,,
737,6204,332000
,,
737,6213,332500
,,
737,6222,333000
,,
737,6232,333500
,,
737,6241,334000
,,
737,6250,334500
,,
737,6259,335000
,,
737,6268,335500
,,
737,6278,336000
,,
737,6287,336500
,,
737,6296,337000
,,
737,6305,337500
,,
737,6314,338000
,,
737,6327,338500
,,
737,6336,339000
,,
737,6345,339500
,,
737,6355,340000
,,
737,6364,340500
,,
737,6373,341000
,,
737,6382,341500
,,
737,6391,342000
,,
737,6400,342500
,,
737,6410,343000
,,
737,6419,343500
,,
737,6428,344000
,,
737,6437,344500
,,
737,6446,345000
,,
737,6458,345500
,,
737,6467,346000
,,
737,6476,346500
,,
737,6486,347000
,,
737,6495,347500
,,
737,6504,348000
,,
737,6513,348500
,,
737,6522,349000
,,
737,6531,349500
,,
737,6541,350000
,,
737,6550,350500
,,
737,6559,351000
,,
737,6568,351500
,,
737,6577,352000
,,
737,6589,352500
,,
737,6598,353000
,,
737,6607,353500
,,
737,6616,354000
,,
737,6626,354500
,,
737,6635,355000
,,
737,6644,355500
,,
737,6653,356000
,,
737,6662,356500
,,
737,6672,357000
,,
737,6681,357500
,,
737,6690,358000
,,
737,6699,358500
,,
737,6709,359000
,,
737,6720,359500
,,
737,6729,360000
,,
737,6738,360500
,,
737,6747,361000
,,
737,6757,361500
,,
737,6766,362000
,,
737,6775,362500
,,
737,6784,363000
,,
737,6793,363500
,,
737,6803,364000
,,
737,6812,364500
,,
737,6821,365000
,,
737,6830,365500
,,
737,6843,366000
,,
737,6852,366500
,,
737,6861,367000
,,
737,6870,367500
,,
737,6879,368000
,,
737,6888,368500
,,
737,6897,369000
,,
737,6907,369500
,,
737,6916,370000
,,
737,6925,370500
,,
737,6934,371000
,,
737,6943,371500
,,
737,6952,372000
,,
737,6961,372500
,,
737,6973,373000
,,
737,6982,373500
,,
737,6991,374000
,,
737,7000,374500
,,
737,7010,375000
,,
737,7019,375500
,,
737,7028,376000
,,
737,7037,376500
,,
737,7046,377000
,,
737,7055,377500
,,
737,7064,378000
,,
737,7074,378500
,,
737,7083,379000
,,
737,7092,379500
,,
737,7104,380000
,,
737,7113,380500
,,
737,7122,381000
,,
737,7131,381500
,,
737,7140,382000
,,
737,7150,382500
,,
737,7159,383000
,,
737,7168,383500
,,
737,7177,384000
,,
737,7187,384500
,,
737,7196,385000
,,
737,7205,385500
,,
737,7214,386000
,,
737,7223,386500
,,
737,7236,387000
,,
737,7246,387500
,,
737,7255,388000
,,
737,7264,388500
,,
737,7273,389000
,,
737,7282,389500
,,
737,7291,390000
,,
737,7300,390500
,,
737,7310,391000
,,
737,7319,391500
,,
737,7328,392000
,,
737,7337,392500
,,
737,7346,393000
,,
737,7356,393500
,,
737,7367,394000
,,
737,7376,394500
,,
737,7386,395000
,,
737,7395,395500
,,
737,7404,396000
,,
737,7413,396500
,,
737,7422,397000
,,
737,7431,397500
,,
737,7440,398000
,,
737,7450,398500
,,
737,7459,399000
,,
737,7468,399500
,,
737,7477,400000
,,
737,7489,400500
,,
737,7499,401000
,,
737,7508,401500
,,
737,7517,402000
,,
737,7526,402500
,,
737,7535,403000
,,
737,7544,403500
,,
737,7553,404000
,,
737,7562,404500
,,
737,7571,405000
,,
737,7580,405500
,,
737,7590,406000
,,
737,7599,406500
,,
737,7608,407000
,,
737,7620,407500
,,
737,7629,408000
,,
737,7638,408500
,,
737,7647,409000
,,
737,7656,409500
,,
737,7665,410000
,,
737,7675,410500
,,
737,7684,411000
,,
737,7693,411500
,,
737,7702,412000
,,
737,7711,412500
,,
737,7720,413000
,,
737,7730,413500
,,
737,7739,414000
,,
737,7752,414500
,,
737,7761,415000
,,
737,7770,415500
,,
737,7779,416000
,,
737,7788,416500
,,
737,7797,417000
,,
737,7806,417500
,,
737,7815,418000
,,
737,7824,418500
,,
737,7833,419000
,,
737,7842,419500
,,
737,7852,420000
,,
737,7861,420500
,,
737,7870,421000
,,
737,7882,421500
,,
737,7891,422000
,,
737,7900,422500
,,
737,7910,423000
,,
737,7919,423500
,,
737,7928,424000
,,
737,7937,424500
,,
737,7947,425000
,,
737,7956,425500
,,
737,7965,426000
,,
737,7974,426500
,,
737,7984,427000
,,
737,7993,427500
,,
737,8003,428000
,,
737,8014,428500
,,
737,8023,429000
,,
737,8033,429500
,,
737,8042,430000
,,
737,8051,430500
,,
737,8060,431000
,,
737,8070,431500
,,
737,8079,432000
,,
737,8088,432500
,,
737,8097,433000
,,
737,8106,433500
,,
737,8116,434000
,,
737,8125,434500
,,
737,8137,435000
,,
737,8146,435500
,,
737,8156,436000
,,
737,8165,436500
,,
737,8174,437000
,,
737,8183,437500
,,
737,8192,438000
,,
737,8202,438500
,,
737,8211,439000
,,
737,8220,439500
,,
737,8229,440000
,,
737,8238,440500
,,
737,8247,441000
,,
737,8257,441500
,,
737,8270,442000
,,
737,8279,442500
,,
737,8288,443000
,,
737,8297,443500
,,
737,8306,444000
,,
737,8315,444500
,,
737,8325,445000
,,
737,8334,445500
,,
737,8343,446000
,,
737,8352,446500
,,
737,8361,447000
,,
737,8371,447500
,,
737,8380,448000
,,
737,8389,448500
,,
737,8401,449000
,,
737,8410,449500
,,
737,8419,450000
,,
737,8428,450500
,,
737,8437,451000
,,
737,8447,451500
,,
737,8456,452000
,,
737,8465,452500
,,
737,8474,453000
,,
737,8484,453500
,,
737,8493,454000
,,
737,8502,454500
,,
737,8511,455000
,,
737,8522,455500
,,
737,8532,456000
,,
737,8541,456500
,,
737,8550,457000
,,
737,8560,457500
,,
737,8569,458000
,,
737,8578,458500
,,
737,8587,459000
,,
737,8596,459500
,,
737,8605,460000
,,
737,8614,460500
,,
737,8624,461000
,,
737,8633,461500
,,
737,8642,462000
,,
737,8654,462500
,,
737,8663,463000
,,
737,8673,463500
,,
737,8682,464000
,,
737,8691,464500
,,
737,8700,465000
,,
737,8709,465500
,,
737,8718,466000
,,
737,8727,466500
,,
737,8736,467000
,,
737,8745,467500
,,
737,8754,468000
,,
737,8763,468500
,,
737,8772,469000
,,
737,8784,469500
,,
737,8793,470000
,,
737,8802,470500
,,
737,8811,471000
,,
737,8820,471500
,,
737,8829,472000
,,
737,8838,472500
,,
737,8847,473000
,,
737,8857,473500
,,
737,8866,474000
,,
737,8875,474500
,,
737,8884,475000
,,
737,8893,475500
,,
737,8902,476000
,,
737,8915,476500
,,
737,8924,477000
,,
737,8933,477500
,,
737,8942,478000
,,
737,8951,478500
,,
737,8960,479000
,,
737,8969,479500
,,
737,8978,480000
,,
737,8987,480500
,,
737,8996,481000
,,
737,9005,481500
,,
737,9014,482000
,,
737,9023,482500
,,
737,9032,483000
,,
737,9045,483500
,,
737,9054,484000
,,
737,9063,484500
,,
737,9072,485000
,,
737,9082,485500
,,
737,9091,486000
,,
737,9100,486500
,,
737,9109,487000
,,
737,9118,487500
,,
737,9127,488000
,,
737,9137,488500
,,
737,9146,489000
,,
737,9155,489500
,,
737,9164,490000
,,
737,9177,490500
,,
